,City,Lat,Lng,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country
432,Aksu,41.12,80.26,44.62,47,13,1.25,CN
433,Krasnovishersk,60.41,57.08,22.44,91,100,8.1,RU
434,Priamurskiy,48.52,134.9,33.8,100,90,11.97,RU
435,Jardim,-21.48,-56.14,71.76,88,97,3.8,BR
436,Kyakhta,50.35,106.45,29.59,94,50,1.68,RU
437,Haines Junction,60.75,-137.51,24.4,78,95,2.33,CA
438,Kargil,34.57,76.1,30.33,85,3,3.67,IN
439,Kamenka,51.32,42.77,57.0,72,100,8.5,RU
440,Kenitra,34.26,-6.58,55.4,100,0,4.05,MA
441,Hokitika,-42.72,170.97,58.37,66,0,1.9,NZ
442,Beeville,28.4,-97.75,91.0,47,59,4.0,US
443,Perth,-31.93,115.83,55.99,62,0,6.93,AU
444,Yashkul',46.17,45.34,56.8,64,17,6.55,RU
445,Oriximiná,-1.77,-55.87,90.54,42,42,3.76,BR
446,Livingston,55.9,-3.52,45.0,87,0,9.17,GB
447,Baruun-Urt,46.68,113.28,30.74,84,51,9.37,MN
448,Kedrovyy,56.17,91.82,33.8,74,0,4.47,RU
449,Vikhorevka,56.12,101.16,35.6,74,95,2.24,RU
450,Kamaishi,39.27,141.88,50.74,65,3,7.49,JP
451,Pajusti,59.28,26.41,40.37,76,75,9.6,EE
452,São Gabriel da Cachoeira,-0.13,-67.09,78.53,94,100,1.77,BR
453,Te Anau,-45.42,167.72,55.8,71,100,8.03,NZ
454,Ikom,5.97,8.71,74.14,95,100,2.3,NG
455,Bobov Dol,42.37,23.02,41.0,93,1,4.7,BG
456,Fichē,9.8,38.73,47.44,59,18,3.36,ET
457,Verāval,20.9,70.37,81.3,53,0,5.7,IN
458,Lewistown,40.6,-77.57,72.0,73,1,7.67,US
459,Gigmoto,13.78,124.39,79.54,82,98,5.28,PH
460,Ambulu,-8.35,113.61,75.07,88,12,3.0,ID
461,Neiafu,-18.65,-173.98,80.6,74,75,12.75,TO
462,Gizo Government Station,-8.1,156.84,83.53,70,32,2.1,SB
463,Inzer,54.22,57.56,29.62,96,100,4.92,RU
464,Bagnes,46.08,7.22,51.8,100,20,2.24,CH
465,Ayan,56.45,138.17,34.48,89,100,15.99,RU
466,Swellendam,-34.02,20.44,64.4,93,38,2.15,ZA
467,Fuyang,32.9,115.82,48.22,50,38,5.55,CN
468,Todos Santos,23.45,-110.22,81.0,72,44,5.99,MX
469,Kruisfontein,-34.0,24.73,68.0,82,58,1.99,ZA
470,Deputatsky,69.3,139.9,1.8,91,100,3.44,RU
471,Solwezi,-12.17,26.39,66.67,46,19,2.98,ZM
472,Bonavista,48.65,-53.11,37.99,86,62,1.99,CA
473,Camopi,3.17,-52.32,83.84,57,97,5.66,GF
474,Mianyang,31.46,104.75,63.61,69,100,3.65,CN
475,Sola,-13.88,167.55,77.0,94,90,17.83,VU
476,Vágur,61.47,-6.81,48.18,81,11,13.29,FO
477,Concepción del Oro,24.63,-101.42,76.14,19,5,11.65,MX
478,Dicabisagan,17.08,122.42,78.49,82,100,3.11,PH
479,Medak,18.03,78.27,73.0,63,47,1.43,IN
480,Porto Walter,-8.27,-72.74,89.55,50,61,5.35,BR
481,Dalby,-27.18,151.27,70.0,79,100,4.0,AU
482,Ambilobe,-13.2,49.05,70.7,71,11,5.35,MG
483,Camaná,-16.62,-72.71,65.89,73,34,7.02,PE
484,Bahía Honda,22.9,-83.16,82.11,81,87,9.98,CU
485,Birao,10.28,22.79,74.98,75,99,3.36,CF
486,Kuytun,54.34,101.5,34.81,91,98,6.87,RU
487,Chervishevo,56.95,65.43,21.2,79,75,8.95,RU
488,Belyy Yar,53.6,91.39,30.2,92,0,2.01,RU
489,Caravelas,-17.71,-39.25,73.04,90,97,6.22,BR
490,Kavaratti,10.57,72.64,80.15,78,92,14.29,IN
491,Port Macquarie,-31.43,152.92,66.99,99,100,8.63,AU
492,Santarém,-2.44,-54.71,89.6,59,20,8.05,BR
493,Socorro,31.65,-106.3,82.4,23,5,6.93,US
494,Iqaluit,63.75,-68.51,30.2,80,90,4.7,CA
495,Tigre,-34.43,-58.58,69.8,83,75,5.82,AR
496,Buraidah,26.33,43.98,68.0,30,0,4.7,SA
497,Durg,21.18,81.28,71.28,59,10,3.85,IN
498,Bariloche,-41.15,-71.31,64.4,20,0,26.4,AR
499,Ampanihy,-24.7,44.75,72.81,62,99,5.23,MG
500,Port-Gentil,-0.72,8.78,77.0,94,90,12.35,GA
501,Tautira,-17.73,-149.15,84.2,66,75,13.87,PF
502,‘Āhuimanu,21.44,-157.84,80.6,94,75,3.36,US
503,Lucapa,-8.42,20.74,67.41,92,75,1.5,AO
504,Buala,-8.14,159.59,84.15,71,22,5.7,SB
505,Fortuna,40.6,-124.16,63.0,58,1,13.87,US
506,Huicheng,23.04,116.29,68.0,52,0,4.47,CN
507,Loikaw,19.67,97.21,64.87,95,100,1.19,MM
508,Mehamn,71.04,27.85,37.4,86,75,26.4,NO
509,Port Shepstone,-30.74,30.45,70.03,86,100,11.86,ZA
510,Erzin,36.96,36.2,75.99,42,0,8.01,TR
511,Yerbogachën,61.28,108.01,25.66,98,92,4.65,RU
512,Sturgeon Bay,44.83,-87.38,37.4,93,90,25.28,US
513,Preobrazheniye,42.9,133.91,33.35,86,2,15.99,RU
514,Port Augusta,-32.5,137.77,57.2,67,90,18.34,AU
515,Grand-Santi,4.25,-54.38,84.94,54,94,5.37,GF
516,Sel’tso,53.37,34.1,49.12,94,90,8.21,RU
517,Mosquera,4.71,-74.23,66.2,45,40,6.93,CO
518,Rio Grande,-32.03,-52.1,72.0,84,100,9.73,BR
519,West Monroe,32.52,-92.15,84.2,65,1,4.32,US
520,Eresós,39.17,25.93,66.2,72,0,4.7,GR
521,Bukama,-9.2,25.85,73.09,83,87,1.72,CD
522,Słubice,52.35,14.56,55.99,86,100,5.82,PL
523,High Rock,26.62,-78.28,82.4,74,75,8.05,BS
524,Taltal,-25.4,-70.48,62.35,64,22,3.94,CL
525,Robertsport,6.75,-11.37,78.96,86,100,9.8,LR
526,Jinchang,38.5,102.17,44.1,52,63,4.88,CN
527,Shīeli,44.17,66.75,35.69,70,96,5.48,KZ
528,Alyangula,-13.85,136.42,82.4,78,80,6.93,AU
529,Changde,29.05,111.68,58.66,75,85,4.12,CN
530,Polunochnoye,60.87,60.42,18.1,96,8,3.89,RU
531,Talnakh,69.49,88.4,-4.0,83,40,8.95,RU
532,Caceres,39.52,-6.37,52.0,89,0,3.13,ES
533,Merauke,-8.47,140.33,80.22,79,38,11.21,ID
534,Gusau,12.16,6.66,77.85,25,12,3.8,NG
535,Brigantine,39.41,-74.36,66.2,88,90,4.7,US
536,Balyqshy,47.07,51.87,50.0,71,75,11.18,KZ
537,Novy Urengoy,66.08,76.63,18.46,97,98,9.26,RU
538,Pochutla,15.74,-96.47,88.0,66,40,6.04,MX
539,Tahe,52.33,124.73,22.15,93,0,4.43,CN
540,Hailar,49.2,119.7,25.18,94,0,5.46,CN
541,Uthal,25.81,66.62,74.26,48,0,3.38,PK
542,Nabire,-3.37,135.48,75.36,92,100,4.54,ID
543,Río Gallegos,-51.62,-69.22,53.6,62,75,11.41,AR
544,Houston,29.76,-95.36,80.6,65,1,6.93,US
545,Nipawin,53.37,-104.0,24.8,62,90,13.87,CA
546,Uuemõisa,58.94,23.59,45.0,73,73,8.01,EE
547,Ulagan,50.63,87.96,32.54,92,100,0.92,RU
548,Mauá,-23.67,-46.46,71.6,68,75,16.11,BR
549,Tuyen Quang,21.82,105.22,63.39,73,100,1.9,VN
550,Ouésso,1.61,16.05,72.5,96,99,3.2,CG
551,Faya,18.39,42.45,62.6,23,0,5.75,SA
552,Ostrovnoy,68.05,39.51,29.32,97,100,6.98,RU
553,Ranchi,23.35,85.33,71.6,94,7,7.11,IN
